# RTV0_MARKET_DATA_PROVENANCE.csv
# Methodology: Read-only audit of phase7_scan_cache.json (50-symbol NIFTY_50 universe)
# and kite_instruments_cache.json as of weekend baseline 2026-08-23.
# API sources consulted (GET only): /api/live-data/scan/status, /api/live-data/health-v2,
# /api/ohlcv-cache/status, /api/universe/custom/status (all on port 8080).
# Active runtime universe: NIFTY_50, 50 symbols.
# Latest canonical scan snapshot: 2026-08-21T09:55:44Z (scan_id=8ea114ecb962).
# Market state at audit time: WEEKEND/CLOSED (IST 2026-08-23T03:38:31+05:30).
# Freshness rule: Friday snapshot classified STALE_WEEKEND_CLOSED for current-session
#   decision use, regardless of stored data_quality=LIVE (stored value preserved in notes).
# Token presence: YES only for RELIANCE (sole symbol in kite_instruments_cache.json).
# All other 49 symbols: instrument_token_present=NO.
# Price source: yfinance_daily_bars (yfinance_last_close) -- Kite LTP unavailable (no active session).
# OHLCV: local_yfinance_cache; latest_cached_date=2026-08-21; min_bars_required=120.
# No secrets, credentials, tokens, or PII are included in this file.
# No production code, config, DB, cache, or workflow was modified to produce this file.
# Generated by: read-only inventory audit agent
# Audit timestamp UTC: 2026-08-23T03:38:31Z
symbol,company_name,instrument_token_present,latest_price,price_field_used,actual_source,source_timestamp,age_at_audit,freshness_status,fallback_used,fallback_reason,signal_engine_consumed,ohlcv_latest_date,ohlcv_bar_count,minimum_bars_satisfied,scan_id,scan_action,notes
HDFCBANK,HDFC Bank Ltd,NO,725.05,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
KOTAKBANK,Kotak Mahindra Bank Ltd,NO,397.35,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
BAJAJ-AUTO,Bajaj Auto Ltd,NO,11793.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
HDFCLIFE,HDFC Life Insurance Company Ltd,NO,542.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,mean_reversion,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
HINDUNILVR,Hindustan Unilever Ltd,NO,2028.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,mean_reversion,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
DRREDDY,Dr. Reddy's Laboratories Ltd,NO,1180.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
TMCV,Tata Motors Commercial Vehicles (TMCV),NO,477.6,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
GRASIM,Grasim Industries Ltd,NO,3300.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
BAJAJFINSV,Bajaj Finserv Ltd,NO,2016.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
TECHM,Tech Mahindra Ltd,NO,1592.1,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
INDUSINDBK,IndusInd Bank Ltd,NO,1008.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
