symbol,sector,tradingsymbol,instrument_token_present,mapping_valid,kite_quote_available,source,fallback,verification_scope,notes
BANKBARODA,BANK,BANKBARODA,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
BANKINDIA,BANK,BANKINDIA,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
CANBK,BANK,CANBK,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
FEDERALBNK,BANK,FEDERALBNK,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
IDFCFIRSTB,BANK,IDFCFIRSTB,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
KTKBANK,BANK,KTKBANK,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
MAHABANK,BANK,MAHABANK,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
PNB,BANK,PNB,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
UNIONBANK,BANK,UNIONBANK,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
COALINDIA,INFRA,COALINDIA,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
GAIL,INFRA,GAIL,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
HUDCO,INFRA,HUDCO,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
IRCON,INFRA,IRCON,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
IRFC,INFRA,IRFC,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
MRPL,INFRA,MRPL,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
NBCC,INFRA,NBCC,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
NMDC,INFRA,NMDC,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
NTPC,INFRA,NTPC,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
PFC,INFRA,PFC,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
RECLTD,INFRA,RECLTD,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
RVNL,INFRA,RVNL,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
SAIL,INFRA,SAIL,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
WIPRO,IT,WIPRO,false,false,NOT_RUN,NOT_VERIFIED,NOT_VERIFIED,POST_DEPLOY_BLOCKED,"Active row had null token; quote verification stopped after runtime identity mismatch"
