symbol,sector,exchange,tradingsymbol,instrument_token,instrument_token_present,instrument_cache_date,instrument_mapping_at,mapping_status
BANKBARODA,BANK,NSE,BANKBARODA,1195009,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
BANKINDIA,BANK,NSE,BANKINDIA,1214721,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
CANBK,BANK,NSE,CANBK,2763265,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
FEDERALBNK,BANK,NSE,FEDERALBNK,261889,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
IDFCFIRSTB,BANK,NSE,IDFCFIRSTB,2863105,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
KTKBANK,BANK,NSE,KTKBANK,2061825,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
MAHABANK,BANK,NSE,MAHABANK,2912513,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
PNB,BANK,NSE,PNB,2730497,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
UNIONBANK,BANK,NSE,UNIONBANK,2752769,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
COALINDIA,INFRA,NSE,COALINDIA,5215745,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
GAIL,INFRA,NSE,GAIL,1207553,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
HUDCO,INFRA,NSE,HUDCO,5331201,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
IRCON,INFRA,NSE,IRCON,1276417,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
IRFC,INFRA,NSE,IRFC,519425,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
MRPL,INFRA,NSE,MRPL,584449,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
NBCC,INFRA,NSE,NBCC,8042241,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
NMDC,INFRA,NSE,NMDC,3924993,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
NTPC,INFRA,NSE,NTPC,2977281,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
PFC,INFRA,NSE,PFC,3660545,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
RECLTD,INFRA,NSE,RECLTD,3930881,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
RVNL,INFRA,NSE,RVNL,2445313,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
SAIL,INFRA,NSE,SAIL,758529,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
WIPRO,IT,NSE,WIPRO,969473,true,2026-08-23,2026-08-23T22:07:53.315696+00:00,MAPPED
