symbol,instrument_token_present,kite_quote_request_success,ltp_returned,ltp,source,provider,quote_timestamp,received_timestamp,fallback_used,fallback_reason,reliable,synthetic
BANKBARODA,true,true,true,247,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
BANKINDIA,true,true,true,142.79,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
CANBK,true,true,true,129.96,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
FEDERALBNK,true,true,true,361,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
IDFCFIRSTB,true,true,true,86.75,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
KTKBANK,true,true,true,328.3,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
MAHABANK,true,true,true,80.26,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
PNB,true,true,true,116.55,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
UNIONBANK,true,true,true,183.45,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
COALINDIA,true,true,true,405.2,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
GAIL,true,true,true,172,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
HUDCO,true,true,true,186.09,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
IRCON,true,true,true,124.72,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
IRFC,true,true,true,86.4,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
MRPL,true,true,true,176.81,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
NBCC,true,true,true,88.88,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
NMDC,true,true,true,84.61,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
NTPC,true,true,true,340,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
PFC,true,true,true,363,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
RECLTD,true,true,true,326.65,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
RVNL,true,true,true,225.3,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
SAIL,true,true,true,173.46,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
WIPRO,true,true,true,180.79,kite_live,Zerodha Kite Connect (Live),2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,false,,true,false
