expected_symbol,sector,instrument_exchange,instrument_token,in_failed_batch,coverage_disposition
BANKBARODA,BANK,NSE,1195009,false,MISSING_CUSTOM_SYMBOL
BANKINDIA,BANK,NSE,1214721,false,MISSING_CUSTOM_SYMBOL
CANBK,BANK,NSE,2763265,false,MISSING_CUSTOM_SYMBOL
COALINDIA,INFRA,NSE,5215745,false,MISSING_CUSTOM_SYMBOL
FEDERALBNK,BANK,NSE,261889,false,MISSING_CUSTOM_SYMBOL
GAIL,INFRA,NSE,1207553,false,MISSING_CUSTOM_SYMBOL
HUDCO,INFRA,NSE,5331201,false,MISSING_CUSTOM_SYMBOL
IDFCFIRSTB,BANK,NSE,2863105,false,MISSING_CUSTOM_SYMBOL
IRCON,INFRA,NSE,1276417,false,MISSING_CUSTOM_SYMBOL
IRFC,INFRA,NSE,519425,false,MISSING_CUSTOM_SYMBOL
KTKBANK,BANK,NSE,2061825,false,MISSING_CUSTOM_SYMBOL
MAHABANK,BANK,NSE,2912513,false,MISSING_CUSTOM_SYMBOL
MRPL,INFRA,NSE,584449,false,MISSING_CUSTOM_SYMBOL
NBCC,INFRA,NSE,8042241,false,MISSING_CUSTOM_SYMBOL
NMDC,INFRA,NSE,3924993,false,MISSING_CUSTOM_SYMBOL
NTPC,INFRA,NSE,2977281,false,MISSING_CUSTOM_SYMBOL
PFC,INFRA,NSE,3660545,false,MISSING_CUSTOM_SYMBOL
PNB,BANK,NSE,2730497,false,MISSING_CUSTOM_SYMBOL
RECLTD,INFRA,NSE,3930881,false,MISSING_CUSTOM_SYMBOL
RVNL,INFRA,NSE,2445313,false,MISSING_CUSTOM_SYMBOL
SAIL,INFRA,NSE,758529,false,MISSING_CUSTOM_SYMBOL
UNIONBANK,BANK,NSE,2752769,false,MISSING_CUSTOM_SYMBOL
WIPRO,IT,NSE,969473,true,ONLY_EXPECTED_SYMBOL_COLLECTED
