symbol,outcome_status,reason_code,provider_symbol,provider_response_present,normalization_result,eligibility_status,snapshot_id,provider_scope,provider_raw_count
BANKBARODA,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,BANKBARODA,true,NORMALIZED,REJECTED_STALE,nse-BANKBARODA-481ec683,ALL,2120
BANKINDIA,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,BANKINDIA,true,NORMALIZED,REJECTED_STALE,nse-BANKINDIA-c6348c1d,ALL,2120
CANBK,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,CANBK,true,NORMALIZED,REJECTED_STALE,nse-CANBK-1f71d1f4,ALL,2120
COALINDIA,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,COALINDIA,true,NORMALIZED,REJECTED_STALE,nse-COALINDIA-6cdfd71c,ALL,2120
FEDERALBNK,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,FEDERALBNK,true,NORMALIZED,REJECTED_STALE,nse-FEDERALBNK-f78ad23f,ALL,2120
GAIL,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,GAIL,true,NORMALIZED,REJECTED_STALE,nse-GAIL-342fc02e,ALL,2120
HUDCO,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,HUDCO,true,NORMALIZED,REJECTED_STALE,nse-HUDCO-479f6a87,ALL,2120
IDFCFIRSTB,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,IDFCFIRSTB,true,NORMALIZED,REJECTED_STALE,nse-IDFCFIRSTB-6951a932,ALL,2120
IRCON,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,IRCON,true,NORMALIZED,REJECTED_STALE,nse-IRCON-fc555d95,ALL,2120
IRFC,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,IRFC,true,NORMALIZED,REJECTED_STALE,nse-IRFC-ea50323e,ALL,2120
KTKBANK,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,KTKBANK,true,NORMALIZED,REJECTED_STALE,nse-KTKBANK-a215f7f6,ALL,2120
MAHABANK,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,MAHABANK,true,NORMALIZED,REJECTED_STALE,nse-MAHABANK-f2eada74,ALL,2120
MRPL,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,MRPL,true,NORMALIZED,REJECTED_STALE,nse-MRPL-6f1d0cc6,ALL,2120
NBCC,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,NBCC,true,NORMALIZED,REJECTED_STALE,nse-NBCC-e8746be7,ALL,2120
NMDC,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,NMDC,true,NORMALIZED,REJECTED_STALE,nse-NMDC-552605f2,ALL,2120
NTPC,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,NTPC,true,NORMALIZED,REJECTED_STALE,nse-NTPC-f831b1a9,ALL,2120
PFC,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,PFC,true,NORMALIZED,REJECTED_STALE,nse-PFC-a5645177,ALL,2120
PNB,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,PNB,true,NORMALIZED,REJECTED_STALE,nse-PNB-1365ef04,ALL,2120
RECLTD,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,RECLTD,true,NORMALIZED,REJECTED_STALE,nse-RECLTD-7708884d,ALL,2120
RVNL,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,RVNL,true,NORMALIZED,REJECTED_STALE,nse-RVNL-103b5097,ALL,2120
SAIL,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,SAIL,true,NORMALIZED,REJECTED_STALE,nse-SAIL-7c4383f2,ALL,2120
UNIONBANK,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,UNIONBANK,true,NORMALIZED,REJECTED_STALE,nse-UNIONBANK-e3a895a4,ALL,2120
WIPRO,LIVE_PREOPEN_DATA,STALE_AT_FINAL_COLLECTION,WIPRO,true,NORMALIZED,REJECTED_STALE,nse-WIPRO-d5449a2d,ALL,2120
