symbol,expected_for_version_1,collection_batch_id,outcome_status,reason_code,provider_symbol,provider_response_present,normalization_result,eligibility_status,snapshot_id,provider_scope,provider_raw_count
BANKBARODA,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
BANKINDIA,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
CANBK,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
FEDERALBNK,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
IDFCFIRSTB,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
KTKBANK,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
MAHABANK,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
PNB,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
UNIONBANK,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
COALINDIA,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
GAIL,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
HUDCO,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
IRCON,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
IRFC,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
MRPL,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
NBCC,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
NMDC,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
NTPC,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
PFC,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
RECLTD,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
RVNL,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
SAIL,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
WIPRO,true,,NOT_OBSERVED,NO_NATURAL_PHASE5A_BATCH,,false,NOT_RUN,NOT_CERTIFIABLE,,,
