symbol,active_universe_expected,kite_mapping,provider_symbol,provider_request_inclusion,raw_response_count,raw_response_presence,normalization_result,eligibility_outcome,persisted_snapshot,historical_outcome,failure_reason
BANKBARODA,YES,VALID_POST_OPEN_AUDIT,BANKBARODA,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
BANKINDIA,YES,VALID_POST_OPEN_AUDIT,BANKINDIA,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
CANBK,YES,VALID_POST_OPEN_AUDIT,CANBK,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
COALINDIA,YES,VALID_POST_OPEN_AUDIT,COALINDIA,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,PRESENT_IN_PERSISTED_SNAPSHOT,NORMALIZED_AND_PERSISTED,UNKNOWN_NOT_DURABLY_RECORDED,YES,LIVE_PREOPEN_DATA,"Persisted as one of the three real historical snapshots"
FEDERALBNK,YES,VALID_POST_OPEN_AUDIT,FEDERALBNK,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
GAIL,YES,VALID_POST_OPEN_AUDIT,GAIL,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,PRESENT_IN_PERSISTED_SNAPSHOT,NORMALIZED_AND_PERSISTED,UNKNOWN_NOT_DURABLY_RECORDED,YES,LIVE_PREOPEN_DATA,"Persisted as one of the three real historical snapshots"
HUDCO,YES,VALID_POST_OPEN_AUDIT,HUDCO,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
IDFCFIRSTB,YES,VALID_POST_OPEN_AUDIT,IDFCFIRSTB,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
IRCON,YES,VALID_POST_OPEN_AUDIT,IRCON,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
IRFC,YES,VALID_POST_OPEN_AUDIT,IRFC,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
KTKBANK,YES,VALID_POST_OPEN_AUDIT,KTKBANK,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
MAHABANK,YES,VALID_POST_OPEN_AUDIT,MAHABANK,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
MRPL,YES,VALID_POST_OPEN_AUDIT,MRPL,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
NBCC,YES,VALID_POST_OPEN_AUDIT,NBCC,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
NMDC,YES,VALID_POST_OPEN_AUDIT,NMDC,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
NTPC,YES,VALID_POST_OPEN_AUDIT,NTPC,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,PRESENT_IN_PERSISTED_SNAPSHOT,NORMALIZED_AND_PERSISTED,UNKNOWN_NOT_DURABLY_RECORDED,YES,LIVE_PREOPEN_DATA,"Persisted as one of the three real historical snapshots"
PFC,YES,VALID_POST_OPEN_AUDIT,PFC,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
PNB,YES,VALID_POST_OPEN_AUDIT,PNB,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
RECLTD,YES,VALID_POST_OPEN_AUDIT,RECLTD,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
RVNL,YES,VALID_POST_OPEN_AUDIT,RVNL,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
SAIL,YES,VALID_POST_OPEN_AUDIT,SAIL,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
UNIONBANK,YES,VALID_POST_OPEN_AUDIT,UNIONBANK,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
WIPRO,YES,VALID_POST_OPEN_AUDIT,WIPRO,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,NOT_DURABLY_RECORDED,UNKNOWN_NOT_DURABLY_RECORDED,NO,UNCLASSIFIED_HISTORICAL_EVIDENCE_GAP,"No live snapshot persisted; raw provider request/response was not retained"
