consumer,universe_key,universe_revision_id,universe_version,expected_symbol_count,exact_set_hash,status,evidence
canonical_scanner,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,BLOCKED_PREMIGRATION,"No durable revision exists; no scan was triggered"
scanner_readiness_denominator,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,BLOCKED_PREMIGRATION,"Active authority reports revision_not_found"
phase5a,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,NOT_RUN,"Manual Phase 5A was prohibited and not invoked"
phase5b_phase5c_context,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,NOT_RUN,"No downstream lifecycle was triggered"
preopen_scheduler,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,BLOCKED_PREMIGRATION,"No durable revision exists; no pre-open run was triggered"
market_data_coverage,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,BLOCKED_PREMIGRATION,"Kite instrument reference stale and mapping coverage 0/23"
mission_control,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,BLOCKED_PREMIGRATION,"Release identity verified; authority remains unavailable"
strategy_context,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,NOT_VERIFIED,"Post-migration consumer verification not reached"
signal_generation,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,NOT_VERIFIED,"Post-migration consumer verification not reached"
advisory_multi_bot_resolution,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,NOT_VERIFIED,"Post-migration consumer verification not reached"
future_paper_entry_eligibility,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,BLOCKED_SAFE,"Automatic entries remain disabled; no revision exists"
future_broker_execution_eligibility,CUSTOM_LOW_PRICE_SECTOR,,,23,22e5751f25686718f5572041834ce998b7c5ce9844d3b573bc3841749fe77016,BLOCKED_SAFE,"Live broker execution remains disabled; no revision exists"
