symbol,exchange,segment,instrument_type,instrument_token,mapping_status,instrument_reference_timestamp,result
BANKBARODA,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
BANKINDIA,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
CANBK,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
FEDERALBNK,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
IDFCFIRSTB,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
KTKBANK,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
MAHABANK,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
PNB,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
UNIONBANK,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
COALINDIA,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
GAIL,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
HUDCO,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
IRCON,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
IRFC,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
MRPL,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
NBCC,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
NMDC,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
NTPC,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
PFC,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
RECLTD,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
RVNL,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
SAIL,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
WIPRO,,,,,UNAVAILABLE,2026-08-09T09:32:09Z,MISSING_FROM_ONE_ROW_STALE_CACHE
