Rank,Symbol,Sector,Action,OpportunityScore,Confidence,Entry,StopLoss,Target,RRRatio,Strategy,Regime,DataQuality,AllGatesPassed,Error
1,INDUSINDBK,BANKING,WATCH,43.9,33.9,1009.7,959.63,1159.91,3.0,Trend Rider,Strong uptrend,LIVE,True,
2,HCLTECH,IT,WATCH,42.5,39.9,1168.0,1108.75,1256.88,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
3,HDFCBANK,BANKING,WATCH,42.5,39.9,815.45,793.65,848.15,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
4,TATACONSUM,FMCG,WATCH,42.4,39.7,1085.5,1049.29,1139.82,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
5,BAJFINANCE,FINANCE,IGNORE,40.1,29.3,1021.3,972.51,1167.67,3.0,Trend Rider,Strong uptrend,LIVE,True,
6,ICICIBANK,BANKING,IGNORE,40.1,29.3,1416.2,1366.76,1564.52,3.0,Trend Rider,Strong uptrend,LIVE,True,
7,TATASTEEL,METALS,IGNORE,40.0,29.2,185.26,177.36,208.96,3.0,Trend Rider,Strong uptrend,LIVE,True,
8,DRREDDY,PHARMA,IGNORE,38.4,29.4,1229.5,1165.75,1388.88,2.5,MACD Cross,Trending (momentum),LIVE,True,
9,RELIANCE,ENERGY,IGNORE,37.8,27.5,1295.5,1250.69,1407.52,2.5,MACD Cross,Trending (momentum),LIVE,True,
10,HDFCLIFE,FINANCE,IGNORE,37.1,35.5,568.75,548.41,599.26,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
11,SHRIRAMFIN,FINANCE,IGNORE,34.5,29.3,1033.8,990.6,1098.6,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
12,JSWSTEEL,METALS,IGNORE,34.4,29.2,1226.9,1189.25,1283.38,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
13,KOTAKBANK,BANKING,IGNORE,34.4,29.2,378.4,366.15,396.77,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
14,SBIN,BANKING,IGNORE,32.4,24.5,1030.1,990.86,1128.2,2.5,MACD Cross,Trending (momentum),LIVE,True,
15,ONGC,ENERGY,IGNORE,32.0,24.0,247.18,237.0,272.63,2.5,MACD Cross,Trending (momentum),LIVE,True,
16,WIPRO,IT,IGNORE,29.1,25.0,174.65,168.63,183.68,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
