Timestamp,Type,Symbol,Severity,Message
,MOMENTUM_INCREASING,BAJFINANCE,INFO,
,MOMENTUM_INCREASING,HDFCBANK,INFO,
,MOMENTUM_INCREASING,INDUSINDBK,INFO,
,MOMENTUM_INCREASING,ICICIBANK,INFO,
,HIGH_VOLUME_BREAKOUT,BAJAJ-AUTO,INFO,
,MOMENTUM_INCREASING,SUNPHARMA,INFO,
,MOMENTUM_INCREASING,APOLLOHOSP,INFO,
,HIGH_VOLUME_BREAKOUT,TCS,INFO,
,SCAN_STARTED,,INFO,
,SCAN_COMPLETED,,INFO,
,MOMENTUM_INCREASING,INDUSINDBK,INFO,
,MOMENTUM_INCREASING,BAJFINANCE,INFO,
,MOMENTUM_INCREASING,ICICIBANK,INFO,
,MOMENTUM_INCREASING,SUNPHARMA,INFO,
,MOMENTUM_INCREASING,APOLLOHOSP,INFO,
,MOMENTUM_INCREASING,DIVISLAB,INFO,
,WEAKENING_TREND,GRASIM,WARNING,
,MOMENTUM_INCREASING,TITAN,INFO,
,CONFIDENCE_INCREASED,HDFCLIFE,INFO,
,CONFIDENCE_INCREASED,ITC,INFO,
,MOMENTUM_INCREASING,INDUSINDBK,INFO,
,MOMENTUM_INCREASING,BAJFINANCE,INFO,
,MOMENTUM_INCREASING,ICICIBANK,INFO,
,MOMENTUM_INCREASING,TITAN,INFO,
,MOMENTUM_INCREASING,APOLLOHOSP,INFO,
,MOMENTUM_INCREASING,DIVISLAB,INFO,
,WEAKENING_TREND,GRASIM,WARNING,
,MOMENTUM_INCREASING,SUNPHARMA,INFO,
,CONFIDENCE_INCREASED,HDFCLIFE,INFO,
,CONFIDENCE_INCREASED,ITC,INFO,
,MOMENTUM_INCREASING,INDUSINDBK,INFO,
,MOMENTUM_INCREASING,BAJFINANCE,INFO,
,MOMENTUM_INCREASING,ICICIBANK,INFO,
,MOMENTUM_INCREASING,APOLLOHOSP,INFO,
,MOMENTUM_INCREASING,DIVISLAB,INFO,
,WEAKENING_TREND,GRASIM,WARNING,
