Metric,Value
success,True
portfolio_value,5000.0
cash,5000.0
cash_allocation_pct,100.0
invested_pct,0.0
portfolio_heat_pct,0.0
heat_detail,[]
unbounded_risk_positions,[]
risk_budget.max_heat_pct,6.0
risk_budget.used_pct_of_budget,0.0
risk_budget.remaining_heat_pct,6.0
sector_allocation,[]
correlation_matrix.method,sector-proxy estimate (no OHLC history cached for true return correlation)
correlation_matrix.symbols,[]
correlation_matrix.matrix,[]
diversification_score,0.0
diversification_note,100 x normalized (1 - HHI) over position + cash weights
largest_exposures,[]
drawdowns.daily.drawdown_pct,
drawdowns.daily.note,Not Available — fewer than 2 equity points in window
drawdowns.weekly.drawdown_pct,
drawdowns.weekly.note,Not Available — fewer than 2 equity points in window
drawdowns.monthly.drawdown_pct,
drawdowns.monthly.note,Not Available — fewer than 2 equity points in window
daily_realized_loss_pct,0.0
limits.max_risk_per_trade_pct,1.0
limits.max_position_pct,20.0
limits.max_stock_pct,25.0
limits.max_sector_pct,40.0
limits.max_portfolio_heat_pct,6.0
limits.daily_loss_limit_pct,3.0
limits.max_drawdown_alert_pct,8.0
kill_switch.active,False
kill_switch.events,"[{""event"": ""TRIGGERED"", ""reason"": ""test event"", ""source"": ""manual"", ""ts"": ""2026-07-15T03:38:28.777335""}, {""event"": ""RESUMED"", ""acknowledged"": true, ""ts"": ""2026-07-15T03:38:34.155799""}]"
kill_switch.reason,
kill_switch.triggered_at,2026-07-15T03:38:28.777367
kill_switch.triggered_by,manual
kill_switch.resumed_at,2026-07-15T03:38:34.155811
auto_kill_triggered,
engine_version,11.0
computed_at,2026-07-17T18:18:25.880294
