phase,window,variant,symbol,sector,recommendation,confidence,raw_confidence,calibrated_probability,calibrated_confidence,calibration_method,calibration_version,strategy_name,entry_date,entry_price,quantity,requested_quantity,partial_fill,gap_pct,invested,exit_date,exit_price,exit_reason,holding_days,gross_pnl,net_pnl,return_pct,total_costs,mae_pct,mfe_pct,intrabar_rule,market_regime,max_data_timestamp
3A.5,W1,C,HINDALCO,METALS,BUY,89.0,89.0,0.660093,66.0,isotonic,1,Trend Rider,2026-01-19,934.3298,1,1,False,0.41,934.33,2026-02-16,888.7629,Stop-Loss Hit,19,-44.2,-47.6,-5.09,3.4,-5.29,9.65,conservative,Neutral-Bullish,2026-01-16
3A.5,W1,C,HINDALCO,METALS,BUY,80.5,80.5,0.574348,57.4,isotonic,1,Trend Rider,2026-02-24,916.4097,1,1,False,0.47,916.41,2026-03-18,927.5116,Signal Exit,15,12.48,9.05,0.99,3.43,-2.72,6.76,conservative,Neutral-Bearish,2026-02-23
3A.5,W1,C,HINDALCO,METALS,BUY,80.2,80.2,0.571321,57.1,isotonic,1,Trend Rider,2026-03-19,907.9475,1,1,False,-2.26,907.95,2026-03-23,849.9249,Stop-Loss Hit,2,-56.7,-59.98,-6.61,3.28,-8.41,0.0,conservative,Bearish,2026-03-18
3A.5,W1,C,HINDALCO,METALS,BUY,81.7,81.7,0.586453,58.6,isotonic,1,Trend Rider,2026-03-25,862.1519,1,1,False,1.33,862.15,2026-04-10,986.2111,End-of-Test Forced Close,9,125.45,122.01,14.15,3.43,-1.37,14.87,conservative,Bearish,2026-03-24
3A.5,W1,C,TATASTEEL,METALS,BUY,81.1,81.1,0.5804,58.0,isotonic,1,EMA Cross,2026-04-09,200.5279,2,2,False,0.16,401.06,2026-04-10,202.2834,End-of-Test Forced Close,1,4.12,2.62,0.65,1.5,0.0,2.12,conservative,Neutral-Bearish,2026-04-08
3A.5,W2,C,ONGC,ENERGY,BUY,64.6,64.6,0.35008,35.0,isotonic,2,Trend Rider,2026-04-27,286.2145,2,2,False,0.42,572.43,2026-05-11,280.7892,Signal Exit,9,-10.0,-12.11,-2.12,2.11,-2.99,7.44,conservative,Bearish,2026-04-24
3A.5,W2,C,ONGC,ENERGY,BUY,75.7,75.7,0.479294,47.9,isotonic,2,Trend Rider,2026-05-12,287.1152,2,2,False,2.1,574.23,2026-05-27,273.8445,Signal Exit,11,-25.7,-27.79,-4.84,2.09,-5.11,6.21,conservative,Bearish,2026-05-11
3A.5,W2,C,ONGC,ENERGY,BUY,60.7,60.7,0.323584,32.4,isotonic,2,Trend Rider,2026-06-02,263.3474,2,2,False,-0.44,526.69,2026-06-12,249.5927,Stop-Loss Hit,8,-26.74,-28.65,-5.44,1.91,-7.59,2.96,conservative,Bearish,2026-06-01
3A.5,W2,C,NTPC,ENERGY,BUY,58.5,58.5,0.321078,32.1,isotonic,2,Mean Reversion,2026-06-08,359.2192,1,1,False,-0.75,359.22,2026-06-15,348.2586,Stop-Loss Hit,5,-10.43,-11.75,-3.27,1.32,-3.42,1.25,conservative,Bearish,2026-06-05
3A.5,W2,C,ONGC,ENERGY,BUY,64.3,64.3,0.346588,34.7,isotonic,2,Trend Rider,2026-07-08,247.0051,2,2,False,1.08,494.01,2026-07-10,244.7763,End-of-Test Forced Close,2,-3.72,-5.55,-1.12,1.83,-1.66,1.05,conservative,Bullish,2026-07-07
