window,date,symbol,sector,strategy_id,regime,final_confidence,calibrated_probability,similarity_adjustment,pattern_adjustment,rsi,adx,volume_ratio,rr_ratio,exit_reason,holding_days,return_pct
W3,2024-10-25,SHRIRAMFIN,FINANCE,trend_rider,Bearish,67.2,0.497357,0.0,0.0,34.822861122462584,30.376000918415283,2.142980411687182,3.0,Stop-Loss Hit,12,-9.78
W3,2024-10-10,SHRIRAMFIN,FINANCE,trend_rider,Neutral-Bullish,67.2,0.497357,0.0,0.0,46.936332205667405,40.23008787170382,0.6060586420474475,3.0,Stop-Loss Hit,10,-6.66
W3,2024-10-23,ONGC,ENERGY,trend_rider,Neutral-Bullish,79.3,0.62605,0.0,0.0,30.75903581106957,36.80649652696918,1.1621191942480904,3.0,Stop-Loss Hit,14,-6.52
W2,2024-07-15,ONGC,ENERGY,trend_rider,Bullish,83.4,0.65393,9.6,0.0,79.21331916977064,23.451380359793788,2.315451974905508,3.0,Stop-Loss Hit,4,-6.46
W3,2024-10-04,ONGC,ENERGY,trend_rider,Neutral-Bullish,79.3,0.62605,0.0,0.0,44.80301076494229,25.27802639174301,1.131183947419027,3.0,Stop-Loss Hit,9,-6.01
W3,2024-12-16,SHRIRAMFIN,FINANCE,trend_rider,Neutral-Bearish,82.2,0.656893,0.0,15.0,52.53674494825222,20.75361170990253,0.4468482887127237,3.0,Stop-Loss Hit,1,-5.99
W3,2024-12-13,ONGC,ENERGY,trend_rider,Neutral-Bearish,79.3,0.62605,0.0,0.0,44.61260735864988,20.493371421511146,0.8841721241100606,3.0,Stop-Loss Hit,3,-5.87
W2,2024-07-02,SHRIRAMFIN,FINANCE,trend_rider,Bullish,59.3,0.395988,-15.0,10.0,58.94745307421187,31.04222389411752,1.3771961902736167,3.0,Signal Exit,15,-5.52
W2,2024-07-31,POWERGRID,ENERGY,trend_rider,Bullish,89.8,0.722429,6.9,9.7,61.683478003586885,19.81977930618402,1.3269610938924512,3.0,Signal Exit,9,-5.39
W3,2024-10-01,SHRIRAMFIN,FINANCE,trend_rider,Neutral-Bullish,82.2,0.656893,0.0,15.0,66.24905940658815,58.463923108920014,0.6216395276353334,3.0,Stop-Loss Hit,1,-5.09
W3,2024-10-18,ONGC,ENERGY,trend_rider,Neutral-Bullish,79.3,0.62605,0.0,0.0,39.28170084844168,32.39829750612726,0.8425714454848438,3.0,Stop-Loss Hit,2,-4.98
W3,2024-10-07,POWERGRID,ENERGY,trend_rider,Neutral-Bullish,60.3,0.423971,0.0,0.0,38.94815079514248,17.32540070667384,0.80177727071383,3.0,Stop-Loss Hit,14,-4.86
W3,2024-12-19,POWERGRID,ENERGY,trend_rider,Bearish,60.3,0.423971,0.0,0.0,43.8028738178279,13.1428019775263,0.6525743389345462,3.0,Stop-Loss Hit,5,-4.8
W3,2024-11-05,BAJFINANCE,FINANCE,macd_cross,Bearish,91.2,0.752615,10.0,12.8,44.7263700213072,29.59723037174178,1.2031241518153215,2.5,Signal Exit,4,-4.64
W6,2025-09-10,WIPRO,IT,macd_cross,Neutral-Bearish,70.2,0.473482,3.8,0.0,59.58727660205064,17.281347514307186,1.7526217439908922,2.5,Stop-Loss Hit,9,-4.43
