sweep,threshold,n,win_rate,expectancy_pct,profit_factor
confidence_sweep,45,650,42.5,0.09,1.04
confidence_sweep,50,650,42.5,0.09,1.04
confidence_sweep,55,650,42.5,0.09,1.04
confidence_sweep,60,627,42.7,0.15,1.06
confidence_sweep,65,571,42.6,0.14,1.06
confidence_sweep,70,438,42.0,0.16,1.07
confidence_sweep,75,308,44.2,0.42,1.18
calibrated_prob_sweep,0.2,650,42.5,0.09,1.04
calibrated_prob_sweep,0.25,650,42.5,0.09,1.04
calibrated_prob_sweep,0.3,650,42.5,0.09,1.04
calibrated_prob_sweep,0.35,649,42.4,0.09,1.04
calibrated_prob_sweep,0.4,642,42.4,0.08,1.03
calibrated_prob_sweep,0.45,591,42.1,0.08,1.03
calibrated_prob_sweep,0.5,523,43.4,0.26,1.11
volume_ratio_sweep,0.0,650,42.5,0.09,1.04
volume_ratio_sweep,0.5,567,40.7,0.03,1.01
volume_ratio_sweep,0.75,379,39.6,-0.2,0.92
volume_ratio_sweep,1.0,240,37.5,-0.31,0.88
volume_ratio_sweep,1.25,146,38.4,-0.46,0.83
volume_ratio_sweep,1.5,98,39.8,-0.06,0.98
hold_days_sweep,5,38,26.3,-2.32,0.28
hold_days_sweep,10,37,24.3,-2.06,0.4
hold_days_sweep,15,37,29.7,-1.6,0.54
hold_days_sweep,20,37,35.1,-0.94,0.71
hold_days_sweep,30,37,32.4,-1.18,0.65
