phase,window,variant,symbol,sector,recommendation,confidence,raw_confidence,calibrated_probability,calibrated_confidence,calibration_method,calibration_version,strategy_name,entry_date,entry_price,quantity,requested_quantity,partial_fill,gap_pct,invested,exit_date,exit_price,exit_reason,holding_days,gross_pnl,net_pnl,return_pct,total_costs,mae_pct,mfe_pct,intrabar_rule,market_regime,max_data_timestamp
3A.5,W2,C,ONGC,ENERGY,BUY,81.8,81.8,0.636805,63.7,isotonic,2,Trend Rider,2024-07-02,246.3033,2,2,False,0.09,492.61,2024-07-15,288.4635,Target Hit,9,85.12,83.14,16.88,1.98,-0.13,18.38,conservative,Bullish,2024-07-01
3A.5,W2,C,ONGC,ENERGY,BUY,83.4,83.4,0.65393,65.4,isotonic,2,Trend Rider,2024-07-16,291.7414,1,1,False,0.34,291.74,2024-07-23,273.5147,Stop-Loss Hit,4,-17.8,-18.86,-6.46,1.05,-8.17,2.92,conservative,Bullish,2024-07-15
3A.5,W2,C,SHRIRAMFIN,FINANCE,BUY,59.3,59.3,0.395988,39.6,isotonic,2,Trend Rider,2024-07-03,549.9224,1,1,False,0.53,549.92,2024-07-25,520.7323,Signal Exit,15,-28.39,-30.38,-5.52,1.99,-6.78,2.04,conservative,Bullish,2024-07-02
3A.5,W2,C,POWERGRID,ENERGY,BUY,89.2,89.2,0.716007,71.6,isotonic,2,Trend Rider,2024-07-02,309.1029,3,3,False,0.14,927.31,2024-07-31,325.6122,Time Exit,20,50.96,47.42,5.11,3.54,-2.78,8.07,conservative,Bullish,2024-07-01
3A.5,W2,C,POWERGRID,ENERGY,BUY,89.8,89.8,0.722429,72.2,isotonic,2,Trend Rider,2024-08-01,328.8638,3,3,False,0.85,986.59,2024-08-14,311.8658,Signal Exit,9,-49.55,-53.13,-5.39,3.58,-5.38,2.74,conservative,Bullish,2024-07-31
3A.5,W2,C,ONGC,ENERGY,BUY,95.0,95.0,0.811765,81.2,isotonic,2,Trend Rider,2024-07-24,282.23,1,1,False,-0.35,282.23,2024-08-22,291.9793,Time Exit,20,10.18,9.11,3.23,1.07,-2.6,10.12,conservative,Neutral-Bullish,2024-07-23
3A.5,W2,C,SHRIRAMFIN,FINANCE,BUY,81.4,81.4,0.632524,63.3,isotonic,2,Trend Rider,2024-07-31,571.1348,1,1,False,0.75,571.13,2024-08-29,622.0992,Time Exit,20,51.86,49.64,8.69,2.22,-4.36,11.33,conservative,Bullish,2024-07-30
3A.5,W2,C,ONGC,ENERGY,BUY,73.8,73.8,0.551181,55.1,isotonic,2,Trend Rider,2024-08-23,294.7343,2,2,False,0.79,589.47,2024-09-04,285.2207,Signal Exit,8,-18.16,-20.32,-3.45,2.16,-5.0,3.01,conservative,Bullish,2024-08-22
3A.5,W2,C,TATASTEEL,METALS,BUY,61.5,61.5,0.419535,42.0,isotonic,2,MACD Cross,2024-08-21,146.6021,3,3,False,-0.6,439.81,2024-09-11,141.7612,Signal Exit,15,-13.87,-15.49,-3.52,1.61,-3.59,2.21,conservative,Bullish,2024-08-20
3A.5,W2,C,POWERGRID,ENERGY,BUY,65.2,65.2,0.459136,45.9,isotonic,2,Trend Rider,2024-08-16,314.4587,2,2,False,0.68,628.92,2024-09-13,317.9947,Time Exit,20,8.02,5.67,0.9,2.35,-2.91,3.02,conservative,Neutral-Bullish,2024-08-14
3A.5,W2,C,WIPRO,IT,BUY,80.2,80.2,0.619681,62.0,isotonic,2,Trend Rider,2024-08-22,247.5656,4,4,False,0.28,990.26,2024-09-19,249.7938,Time Exit,20,10.41,6.7,0.68,3.7,-3.19,5.42,conservative,Bullish,2024-08-21
3A.5,W3,C,SHRIRAMFIN,FINANCE,BUY,82.2,82.2,0.656893,65.7,isotonic,3,Trend Rider,2024-10-03,694.9626,1,1,False,-0.01,694.96,2024-10-04,661.0738,Stop-Loss Hit,1,-32.87,-35.4,-5.09,2.53,-7.2,0.0,conservative,Neutral-Bullish,2024-10-01
3A.5,W3,C,POWERGRID,ENERGY,BUY,93.3,93.3,0.77495,77.5,isotonic,3,Trend Rider,2024-10-03,323.9019,3,3,False,-2.22,971.71,2024-10-07,316.7123,Stop-Loss Hit,2,-20.13,-23.71,-2.44,3.58,-5.32,1.22,conservative,Neutral-Bullish,2024-10-01
3A.5,W3,C,COALINDIA,ENERGY,BUY,89.6,89.6,0.735598,73.6,isotonic,3,Trend Rider,2024-10-03,443.8949,1,1,False,-1.77,443.89,2024-10-07,430.8966,Stop-Loss Hit,2,-12.34,-13.97,-3.15,1.63,-4.91,0.96,conservative,Neutral-Bullish,2024-10-01
3A.5,W3,C,SHRIRAMFIN,FINANCE,BUY,67.2,67.2,0.497357,49.7,isotonic,3,Trend Rider,2024-10-07,655.9902,1,1,False,1.0,655.99,2024-10-10,648.7578,Signal Exit,3,-6.25,-8.68,-1.32,2.43,-2.8,3.19,conservative,Neutral-Bullish,2024-10-04
3A.5,W3,C,ONGC,ENERGY,BUY,79.3,79.3,0.62605,62.6,isotonic,3,Trend Rider,2024-10-07,268.9315,3,3,False,0.25,806.79,2024-10-18,253.3498,Stop-Loss Hit,9,-45.57,-48.49,-6.01,2.92,-5.75,0.0,conservative,Neutral-Bullish,2024-10-04
