phase,window,variant,symbol,sector,recommendation,confidence,raw_confidence,calibrated_probability,calibrated_confidence,calibration_method,calibration_version,strategy_name,entry_date,entry_price,quantity,requested_quantity,partial_fill,gap_pct,invested,exit_date,exit_price,exit_reason,holding_days,gross_pnl,net_pnl,return_pct,total_costs,mae_pct,mfe_pct,intrabar_rule,market_regime,max_data_timestamp
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-10-04,809.6313,1,1,False,1.32,809.63,2022-10-06,827.3309,Signal Exit,1,18.93,15.88,1.96,3.05,0.0,2.62,conservative,Neutral-Bullish,2022-10-03
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-10-07,828.9592,1,1,False,0.05,828.96,2022-10-10,826.2158,Signal Exit,1,-1.5,-4.58,-0.55,3.08,-2.44,0.15,conservative,Bullish,2022-10-06
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-10-11,831.6223,1,1,False,0.5,831.62,2022-10-12,816.5663,Signal Exit,1,-13.82,-16.89,-2.03,3.07,-2.63,0.0,conservative,Bullish,2022-10-10
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-10-13,835.0154,1,1,False,2.11,835.02,2022-10-14,862.0262,Target Hit,1,28.28,25.13,3.01,3.16,0.0,5.16,conservative,Neutral-Bullish,2022-10-12
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-10-17,863.9216,1,1,False,0.31,863.92,2022-10-18,865.6288,Signal Exit,1,3.0,-0.21,-0.02,3.22,-0.73,0.71,conservative,Bearish,2022-10-14
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-10-19,873.2618,1,1,False,0.73,873.26,2022-10-20,881.3958,Signal Exit,1,9.45,6.18,0.71,3.27,-1.91,1.2,conservative,Bullish,2022-10-18
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-10-21,887.1438,1,1,False,0.5,887.14,2022-10-24,893.6975,Signal Exit,1,7.89,4.58,0.52,3.31,0.0,1.52,conservative,Bullish,2022-10-20
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-10-25,898.8568,1,1,False,0.43,898.86,2022-10-27,894.0876,Signal Exit,1,-3.42,-6.76,-0.75,3.34,-1.66,0.06,conservative,Bullish,2022-10-24
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-10-28,895.3428,1,1,False,-0.01,895.34,2022-10-31,901.9711,Signal Exit,1,7.98,4.63,0.52,3.34,0.0,1.91,conservative,Bullish,2022-10-27
3A.5,W1,C,NTPC,ENERGY,BUY,70.6,70.6,0.706,70.6,identity,1,MACD Cross,2022-10-04,145.6491,6,6,False,1.0,873.89,2022-11-01,163.0576,Target Hit,18,105.84,102.4,11.72,3.44,-1.09,12.88,conservative,Neutral-Bullish,2022-10-03
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-11-01,910.1359,1,1,False,0.75,910.14,2022-11-02,905.4796,Signal Exit,1,-3.29,-6.67,-0.73,3.38,-0.69,1.58,conservative,Bullish,2022-10-31
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-11-03,897.1214,1,1,False,-1.07,897.12,2022-11-04,905.6095,Signal Exit,1,9.84,6.49,0.72,3.35,-0.13,1.37,conservative,Bullish,2022-11-02
3A.5,W1,C,NTPC,ENERGY,BUY,70.6,70.6,0.706,70.6,identity,1,MACD Cross,2022-11-02,163.5911,6,6,False,0.05,981.55,2022-11-09,155.1036,Stop-Loss Hit,4,-49.49,-53.05,-5.41,3.56,-5.38,0.0,conservative,Bullish,2022-11-01
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-11-07,909.3549,1,1,False,0.26,909.35,2022-11-09,912.6267,Signal Exit,1,4.64,1.25,0.14,3.39,0.0,1.2,conservative,Bullish,2022-11-04
3A.5,W1,C,COALINDIA,ENERGY,BUY,63.6,63.6,0.636,63.6,identity,1,Trend Rider,2022-10-11,173.0834,3,3,False,0.48,519.25,2022-11-10,189.7733,Time Exit,20,50.89,48.86,9.41,2.02,-2.41,13.97,conservative,Bullish,2022-10-10
3A.5,W1,C,HDFCBANK,BANKING,BUY,71.5,71.5,0.715,71.5,identity,1,MACD Cross,2022-10-18,690.6695,1,1,False,0.8,690.67,2022-11-11,754.7835,Target Hit,16,65.2,62.51,9.05,2.69,-1.72,12.19,conservative,Neutral-Bearish,2022-10-17
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-11-10,911.0035,1,1,False,-0.33,911.0,2022-11-11,950.7564,Target Hit,1,41.15,37.69,4.14,3.46,0.0,4.56,conservative,Neutral-Bullish,2022-11-09
3A.5,W1,C,NTPC,ENERGY,BUY,70.6,70.6,0.706,70.6,identity,1,MACD Cross,2022-11-10,156.0366,6,6,False,0.06,936.22,2022-11-11,153.9618,Signal Exit,1,-11.05,-14.52,-1.55,3.46,-2.29,0.0,conservative,Neutral-Bullish,2022-11-09
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-11-21,953.4301,1,1,False,-0.39,953.43,2022-11-22,955.8996,Signal Exit,1,3.9,0.35,0.04,3.55,-1.07,0.56,conservative,Neutral-Bullish,2022-11-18
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-11-23,962.1498,1,1,False,0.5,962.15,2022-11-24,978.5972,Signal Exit,1,17.9,14.29,1.49,3.61,-0.57,2.27,conservative,Neutral-Bullish,2022-11-22
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-12-02,985.9659,1,1,False,-0.0,985.97,2022-12-05,979.68,Signal Exit,1,-4.81,-8.47,-0.86,3.66,-0.88,0.41,conservative,Bullish,2022-12-01
3A.5,W1,C,ADANIPORTS,INFRA,BUY,60.2,60.2,0.602,60.2,identity,1,Trend Rider,2022-11-11,887.7091,1,1,False,1.29,887.71,2022-12-09,872.4218,Time Exit,20,-13.97,-17.24,-1.94,3.28,-4.31,1.14,conservative,Neutral-Bullish,2022-11-10
3A.5,W1,C,NTPC,ENERGY,BUY,70.6,70.6,0.706,70.6,identity,1,MACD Cross,2022-11-14,155.0023,6,6,False,0.52,930.01,2022-12-09,152.2108,Signal Exit,19,-15.37,-18.8,-2.02,3.43,-4.83,2.04,conservative,Bullish,2022-11-11
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-12-07,966.5314,1,1,False,-0.62,966.53,2022-12-09,931.296,Stop-Loss Hit,2,-33.81,-37.35,-3.86,3.53,-8.44,0.0,conservative,Neutral-Bullish,2022-12-06
3A.5,W1,C,ITC,FMCG,BUY,64.4,64.4,0.644,64.4,identity,1,MACD Cross,2022-12-13,284.7572,3,3,False,0.38,854.27,2022-12-16,274.8437,Stop-Loss Hit,3,-28.48,-31.61,-3.7,3.13,-3.9,0.75,conservative,Neutral-Bullish,2022-12-12
3A.5,W1,C,COALINDIA,ENERGY,BUY,63.6,63.6,0.636,63.6,identity,1,Trend Rider,2022-12-15,185.0224,3,3,False,-0.11,555.07,2022-12-16,178.0763,Stop-Loss Hit,1,-20.02,-22.05,-3.97,2.03,-3.78,0.0,conservative,Bullish,2022-12-14
3A.5,W1,C,NTPC,ENERGY,BUY,70.6,70.6,0.706,70.6,identity,1,MACD Cross,2022-12-12,152.8889,6,6,False,0.29,917.33,2022-12-23,146.4001,Stop-Loss Hit,9,-37.59,-40.93,-4.46,3.35,-4.57,2.31,conservative,Neutral-Bullish,2022-12-09
3A.5,W1,C,HCLTECH,IT,BUY,80.6,80.6,0.806,80.6,identity,1,Mean Reversion,2022-12-19,893.3474,1,1,False,-0.0,893.35,2022-12-30,900.3683,End-of-Test Forced Close,9,8.37,5.03,0.56,3.34,-1.84,2.41,conservative,Neutral-Bullish,2022-12-16
3A.5,W1,C,NTPC,ENERGY,BUY,70.6,70.6,0.706,70.6,identity,1,MACD Cross,2022-12-26,145.6941,6,6,False,-0.61,874.16,2022-12-30,149.4719,End-of-Test Forced Close,4,23.99,20.7,2.37,3.29,0.0,3.75,conservative,Neutral-Bullish,2022-12-23
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-01-03,901.4596,1,1,False,-0.04,901.46,2023-01-05,904.5265,Signal Exit,2,4.42,1.06,0.12,3.36,-0.8,0.96,conservative,Bullish,2023-01-02
3A.5,W2,C,SBIN,BANKING,BUY,59.6,59.6,0.596,59.6,identity,2,MACD Cross,2023-01-03,571.3127,1,1,False,0.38,571.31,2023-01-06,557.5991,Signal Exit,3,-12.87,-14.97,-2.62,2.1,-2.92,0.0,conservative,Bullish,2023-01-02
3A.5,W2,C,KOTAKBANK,BANKING,BUY,67.8,67.8,0.678,67.8,identity,2,MACD Cross,2023-01-04,366.1292,2,2,False,0.11,732.26,2023-01-06,355.3033,Stop-Loss Hit,2,-20.57,-23.26,-3.18,2.69,-3.57,0.0,conservative,Bullish,2023-01-03
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-01-06,905.7977,1,1,False,-0.01,905.8,2023-01-09,924.7554,Signal Exit,1,20.33,16.92,1.87,3.41,-0.45,2.51,conservative,Neutral-Bullish,2023-01-05
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-01-10,920.5474,1,1,False,-0.6,920.55,2023-01-11,913.7964,Signal Exit,1,-5.38,-8.79,-0.95,3.41,-1.06,1.68,conservative,Neutral-Bullish,2023-01-09
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-01-12,920.5473,1,1,False,0.59,920.55,2023-01-13,933.7217,Signal Exit,1,14.57,11.11,1.21,3.45,-1.96,2.09,conservative,Bearish,2023-01-11
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-01-16,943.1055,1,1,False,0.85,943.11,2023-01-17,962.527,Signal Exit,1,20.85,17.31,1.83,3.55,0.0,2.4,conservative,Neutral-Bearish,2023-01-13
3A.5,W2,C,COALINDIA,ENERGY,BUY,64.4,64.4,0.644,64.4,identity,2,Mean Reversion,2023-01-09,171.8179,5,5,False,0.51,859.09,2023-01-19,178.4117,Signal Exit,8,34.28,31.03,3.61,3.26,-2.05,4.31,conservative,Neutral-Bullish,2023-01-06
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-01-18,970.8259,1,1,False,0.71,970.83,2023-01-19,971.5425,Signal Exit,1,2.17,-1.44,-0.15,3.62,-0.99,0.32,conservative,Neutral-Bearish,2023-01-17
3A.5,W2,C,KOTAKBANK,BANKING,BUY,67.8,67.8,0.678,67.8,identity,2,MACD Cross,2023-01-18,359.754,2,2,False,0.29,719.51,2023-01-20,351.2353,Signal Exit,2,-15.97,-18.62,-2.59,2.65,-2.62,0.0,conservative,Neutral-Bearish,2023-01-17
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-01-20,972.6942,1,1,False,-0.03,972.69,2023-01-23,980.109,Signal Exit,1,8.88,5.25,0.54,3.63,-0.34,0.99,conservative,Neutral-Bearish,2023-01-19
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-01-24,985.6952,1,1,False,0.42,985.7,2023-01-25,981.464,Signal Exit,1,-2.76,-6.42,-0.65,3.66,-0.89,0.72,conservative,Neutral-Bearish,2023-01-23
3A.5,W2,C,KOTAKBANK,BANKING,BUY,67.8,67.8,0.678,67.8,identity,2,MACD Cross,2023-01-24,357.7088,1,1,False,0.5,357.71,2023-01-27,344.2616,Stop-Loss Hit,2,-12.92,-14.23,-3.98,1.31,-5.02,0.0,conservative,Neutral-Bearish,2023-01-23
3A.5,W2,C,HDFCBANK,BANKING,BUY,64.1,64.1,0.641,64.1,identity,2,MACD Cross,2023-01-20,778.8003,1,1,False,-0.0,778.8,2023-01-30,750.9164,Stop-Loss Hit,5,-26.74,-29.59,-3.8,2.85,-3.85,3.47,conservative,Neutral-Bearish,2023-01-19
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-01-27,982.9374,1,1,False,0.0,982.94,2023-01-30,991.9541,Signal Exit,1,10.5,6.82,0.69,3.68,-1.58,1.46,conservative,Bearish,2023-01-25
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-02-08,992.6987,1,1,False,0.5,992.7,2023-02-09,1002.0943,Signal Exit,1,10.89,7.18,0.72,3.71,0.0,1.52,conservative,Neutral-Bearish,2023-02-07
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-02-10,985.6076,1,1,False,-1.79,985.61,2023-02-13,973.979,Stop-Loss Hit,1,-10.16,-13.81,-1.4,3.65,-1.92,0.0,conservative,Neutral-Bearish,2023-02-09
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-02-14,981.4053,1,1,False,0.72,981.41,2023-02-15,990.3369,Signal Exit,1,10.41,6.74,0.69,3.67,-0.2,1.14,conservative,Neutral-Bearish,2023-02-13
3A.5,W2,C,SHRIRAMFIN,FINANCE,BUY,66.0,66.0,0.66,66.0,identity,2,MACD Cross,2023-02-06,237.1298,3,3,False,-1.49,711.39,2023-02-16,236.5301,Signal Exit,8,-0.73,-3.38,-0.47,2.65,-1.16,4.68,conservative,Neutral-Bearish,2023-02-03
3A.5,W2,C,HDFCBANK,BANKING,BUY,64.1,64.1,0.641,64.1,identity,2,MACD Cross,2023-02-07,786.0478,1,1,False,0.46,786.05,2023-02-20,775.8592,Signal Exit,9,-9.02,-11.93,-1.52,2.91,-1.56,1.28,conservative,Neutral-Bearish,2023-02-06
3A.5,W2,C,KOTAKBANK,BANKING,BUY,67.8,67.8,0.678,67.8,identity,2,MACD Cross,2023-02-03,353.299,2,2,False,0.5,706.6,2023-02-22,338.8129,Signal Exit,13,-27.93,-30.51,-4.32,2.58,-4.17,1.8,conservative,Bearish,2023-02-02
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-02-17,982.018,1,1,False,-0.57,982.02,2023-02-22,956.0125,Stop-Loss Hit,3,-24.55,-28.16,-2.87,3.61,-2.89,1.08,conservative,Neutral-Bearish,2023-02-16
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-02-23,967.2227,1,1,False,1.12,967.22,2023-03-03,978.1861,Signal Exit,6,12.42,8.8,0.91,3.62,-3.39,2.18,conservative,Bearish,2023-02-22
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-03-06,988.4091,1,1,False,0.89,988.41,2023-03-08,979.6284,Signal Exit,1,-7.3,-10.97,-1.11,3.66,-2.0,0.0,conservative,Neutral-Bearish,2023-03-03
3A.5,W2,C,HCLTECH,IT,BUY,83.1,83.1,0.831,83.1,identity,2,Mean Reversion,2023-03-09,982.2369,1,1,False,0.12,982.24,2023-03-10,975.8257,Signal Exit,1,-4.94,-8.59,-0.87,3.65,-1.58,0.0,conservative,Neutral-Bearish,2023-03-08
