export_generated_at,app_version,phase,page,section,sub_section,record_type,entity_name,experiment_name,experiment_id,strategy,stock,sector,market_regime,model_version,status,recommendation,confidence,evidence_level,sample_size,trades,test_windows,net_return_pct,net_pnl,gross_pnl,profit_factor,expectancy_per_trade,win_rate_pct,sharpe,sortino,max_drawdown_pct,calibration_brier,calibration_ece,calibration_log_loss,precision,recall,false_positives,false_negatives,feature_name,feature_importance,pattern_name,pattern_type,pattern_result,pattern_expectancy,pattern_profit_factor,diagnosis,reason,supporting_evidence,opposing_evidence,suggested_improvement,strategy_health_score,risk_flag,overfitting_flag,data_quality_flag,source_page_url,source_record_id,implementation_status,files_modified,api_endpoint,notes
2026-07-14T15:06:53Z,v0.5,Phase 5,Research Factory,Experiment queue,,experiment,Bear Market (verify fix),Bear Market (verify fix),0a655cee0ae9,,,,,,completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/experiments,0a655cee0ae9,,,,"{""config_summary"":{""train_years"":1,""test_months"":3,""step_months"":3,""start_date"":""2021-10-01"",""end_date"":""2023-03-31"",""universe_size"":0,""intrabar_rule"":""conservative"",""max_holding_days"":20,""min_confidence_execute"":55}}"
2026-07-14T15:06:53Z,v0.5,Phase 5,Research Factory,Experiment queue,,experiment,Bull Market — Jul 2026,Bull Market — Jul 2026,95a7ff31918c,,,,,,completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/experiments,95a7ff31918c,,,,"{""config_summary"":{""train_years"":1,""test_months"":3,""step_months"":3,""start_date"":""2023-04-01"",""end_date"":""2025-12-31"",""universe_size"":0,""intrabar_rule"":""conservative"",""max_holding_days"":20,""min_confidence_execute"":55}}"
2026-07-14T15:06:53Z,v0.5,Phase 5,Research Factory,Experiment queue,,experiment,Bear Market Smoke Test,Bear Market Smoke Test,c3b29a0fe086,,,,,,completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/experiments,c3b29a0fe086,,,,"{""config_summary"":{""train_years"":1,""test_months"":3,""step_months"":3,""start_date"":""2021-10-01"",""end_date"":""2023-03-31"",""universe_size"":0,""intrabar_rule"":""conservative"",""max_holding_days"":20,""min_confidence_execute"":55}}"
2026-07-14T15:06:53Z,v0.5,Phase 5,Research Factory,Experiment queue,,experiment,Submission Pipeline Test,Submission Pipeline Test,1e3806416eb2,,,,,,rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/experiments,1e3806416eb2,,,,"{""config_summary"":{""train_years"":1,""test_months"":3,""step_months"":3,""start_date"":"""",""end_date"":"""",""universe_size"":0,""intrabar_rule"":""conservative"",""max_holding_days"":20,""min_confidence_execute"":55}}"
2026-07-14T15:06:53Z,v0.5,Phase 5,Research Factory,Experiment queue,,experiment,Bear market test,Bear market test,c3a16676dc3b,,,,,,completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/experiments,c3a16676dc3b,,,,"{""config_summary"":{""train_years"":1,""test_months"":3,""step_months"":3,""start_date"":""2021-10-01"",""end_date"":""2023-03-31"",""universe_size"":0,""intrabar_rule"":""conservative"",""max_holding_days"":20}}"
2026-07-14T15:06:53Z,v0.5,Phase 5,Research Factory,Research verdict,,report_section,,Bear Market (verify fix),0a655cee0ae9,,,,,2,INSUFFICIENT DATA,,,MODERATE,,63,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/experiments (report: 0a655cee0ae9),0a655cee0ae9,,,,"{""verdict"":""INSUFFICIENT DATA"",""reasons"":[""63 OOS trades (< 100) across 2 windows.""],""thresholds"":{""min_trades"":100,""min_windows"":2,""reject_pf_below"":0.8,""promising_pf_above"":1.15,""max_drawdown_pct"":20.0},""engine_verdict_reference"":""INSUFFICIENT DATA"",""disclaimer"":""Even a PROMISING verdict is research-only and does not affect the live system. Never deploy based on this report.""}"
2026-07-14T15:06:53Z,v0.5,Phase 5,Research Factory,Executive summary,,report_section,,Bear Market (verify fix),0a655cee0ae9,,,,,2,,,,MODERATE,,63,2,-1.71,-85.36,,0.86,,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,/experiments (report: 0a655cee0ae9),0a655cee0ae9,,,,"{""experiment_name"":""Bear Market (verify fix)"",""template"":""bear_market"",""template_family"":""market_conditions"",""date_range"":{""start"":""2021-10-01"",""end"":""2023-03-31""},""train_years"":1,""test_months"":3,""step_months"":3,""windows"":2,""oos_trades"":63,""net_return_pct"":-1.71,""net_pnl"":-85.36,""profit_factor"":0.86,""expectancy_rs"":-1.35,""win_rate"":47.6,""sharpe"":-0.61,""max_drawdown_pct"":7.43,""total_costs"":200.78,""evidence_verdict"":""INSUFFICIENT_EVIDENCE"",""overfitting_flags"":[],""final_verdict"":""INSUFFICIENT DATA"",""score"":17.0,""explanation"":""The experiment produced 63 out-of-sample trades across 2 test window(s). Key findings: negative net expectancy of Rs -1.35 per trade after costs; profit factor of 0.86 (below 1); the result did not meet the minimum evidence requirement. Final research verdict: INSUFFICIENT DATA. No live or paper-trading behavior is affected by this report.""}"
2026-07-14T15:06:53Z,v0.5,Phase 5,Research Factory,Performance,,report_section,,Bear Market (verify fix),0a655cee0ae9,,,,,2,,,,MODERATE,,63,2,-1.71,-85.36,115.42,0.86,-1.35,47.6,-0.61,-1.31,,,,,,,,,,,,,,,,,,,,,,,,,/experiments (report: 0a655cee0ae9),0a655cee0ae9,,,,"{""gross_pnl"":115.42,""net_pnl"":-85.36,""gross_return_note"":""Gross figures are before configured transaction costs."",""net_return_pct"":-1.71,""annualized_return_pct"":-3.44,""total_costs"":200.78,""cost_drag_pct_of_gross_profit"":39.0524,""profit_factor"":0.86,""expectancy_rs"":-1.35,""win_rate"":47.6,""avg_win"":17.14,""avg_loss"":18.17,""median_win"":8.0,""median_loss"":-14.97,""payoff_ratio"":0.9433,""sharpe"":-0.61,""sortino"":-1.31,""calmar"":-0.46,""recovery_factor"":-0.22,""turnover"":10.78,""exposure_pct"":100.0,""avg_holding_days"":4.3,""median_holding_days"":1.0,""max_consecutive_wins"":4,""max_consecutive_losses"":7,""best_month"":{""month"":""2022-11"",""trades"":11,""net_pnl"":199.6},""worst_month"":{""month"":""2022-12"",""trades"":9,""net_pnl"":-150.72},""best_window"":{""window"":""W1"",""trades"":29,""net_return_pct"":1.54,""profit_factor"":1.28,""win_rate"":51.7,""max_drawdown_pct"":3.3},""worst_window"":{""window"":""W2"",""trades"":34,""net_return_pct"":-3.24,""profit_factor"":0.49,""win_rate"":44.1,""max_drawdown_pct"":5.52},""pct_profitable_windows"":50.0,""windows"":[{""window"":""W1"",""trades"":29,""net_return_pct"":1.54,""profit_factor"":1.28,""win_rate"":51.7,""max_drawdown_pct"":3.3},{""window"":""W2"",""trades"":34,""net_return_pct"":-3.24,""profit_factor"":0.49,""win_rate"":44.1,""max_drawdown_pct"":5.52}],""benchmarks"":{""strategy_net_return_pct"":-1.71,""nifty_buy_hold_pct"":2.61,""equal_weight_universe_pct"":0.43,""cash_pct"":0.0,""base_model_pct"":-3.19,""note"":""Window returns summed across test windows (each window restarts at the configured capital); the full model line is the compounded overall return.""}}"
2026-07-14T15:06:53Z,v0.5,Phase 5,Research Factory,Risk,,report_section,,Bear Market (verify fix),0a655cee0ae9,,,,,2,,,,MODERATE,,63,2,,,,,,,,,7.43,,,,,,,,,,,,,,,,,,,,,,,,/experiments (report: 0a655cee0ae9),0a655cee0ae9,,,,"{""max_drawdown_pct"":7.43,""drawdown_episodes_material"":1,""avg_drawdown_pct"":1.3415,""longest_drawdown_days"":112,""time_underwater_pct"":85.4839,""largest_single_trade_loss"":-53.05,""p5_trade_return_pct"":-3.979,""p95_trade_return_pct"":4.087,""downside_deviation_pct"":1.4669,""risk_of_ruin_estimate_pct"":100.0,""risk_of_ruin_note"":""Rough Gaussian estimate over 25 sequential trades \u2014 an approximation, not a measured probability."",""concentration"":{""stock"":{""top_group"":""COALINDIA"",""top_profit_share_pct"":14.7161},""sector"":{""top_group"":""ENERGY"",""top_profit_share_pct"":13.8992},""strategy"":{""top_group"":""Mean Reversion"",""top_profit_share_pct"":13.8895},""regime"":{""top_group"":""Neutral-Bullish"",""top_profit_share_pct"":23.142}},""top5_trades_profit_share_pct"":54.9452,""top5_losses_share_pct"":32.7345,""depends_on_few_trades"":false,""warnings"":[]}"
2026-07-14T15:06:53Z,v0.5,Phase 5,Research Factory,Equity and drawdown,,report_section,,Bear Market (verify fix),0a655cee0ae9,,,,,2,,,,MODERATE,,63,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/experiments (report: 0a655cee0ae9),0a655cee0ae9,,,,"{""truncated"":true,""keys"":[""drawdown_curve"",""episodes"",""equity_curve"",""largest_drawdown_explanation""]}"
