alert_id,ts,type,severity,category,symbol,reason,confidence,action_recommendation,scan_id,read
26902063b6,2026-07-15T16:09:37Z,MOMENTUM_INCREASING,INFO,market,INDUSINDBK,"ADX 31.6, RSI 63.6, above EMA20",33.9,Monitor INDUSINDBK for entry setup,d467fffac5c0,True
b5845a571b,2026-07-15T16:09:37Z,MOMENTUM_INCREASING,INFO,market,BAJFINANCE,"ADX 37.6, RSI 61.7, above EMA20",29.3,Monitor BAJFINANCE for entry setup,d467fffac5c0,True
f514d27d18,2026-07-15T16:09:37Z,MOMENTUM_INCREASING,INFO,market,ICICIBANK,"ADX 32.9, RSI 65.2, above EMA20",29.3,Monitor ICICIBANK for entry setup,d467fffac5c0,True
d4430c849a,2026-07-15T16:09:37Z,MOMENTUM_INCREASING,INFO,market,APOLLOHOSP,"ADX 32.0, RSI 68.7, above EMA20",0.0,Monitor APOLLOHOSP for entry setup,d467fffac5c0,True
c656481e50,2026-07-15T16:09:37Z,MOMENTUM_INCREASING,INFO,market,CIPLA,"ADX 30.4, RSI 55.3, above EMA20",0.0,Monitor CIPLA for entry setup,d467fffac5c0,True
2eaa4cd95b,2026-07-15T16:09:37Z,WEAKENING_TREND,WARNING,market,GRASIM,Price slipped below EMA20 with RSI 44.6,0.0,Caution on GRASIM — trend weakening,d467fffac5c0,True
051603df04,2026-07-15T16:09:37Z,MOMENTUM_INCREASING,INFO,market,SUNPHARMA,"ADX 37.2, RSI 71.0, above EMA20",0.0,Monitor SUNPHARMA for entry setup,d467fffac5c0,True
cc44fbf77b,2026-07-15T16:09:37Z,CONFIDENCE_INCREASED,INFO,ai,INDUSINDBK,Confidence rose 15 pts (18.9 → 33.9),33.9,Re-check INDUSINDBK setup,d467fffac5c0,True
f87ebe38fd,2026-07-15T16:09:37Z,CONFIDENCE_INCREASED,INFO,ai,HCLTECH,Confidence rose 15 pts (24.9 → 39.9),39.9,Re-check HCLTECH setup,d467fffac5c0,True
c6d885f7d4,2026-07-15T16:09:37Z,CONFIDENCE_INCREASED,INFO,ai,HDFCBANK,Confidence rose 15 pts (24.9 → 39.9),39.9,Re-check HDFCBANK setup,d467fffac5c0,True
