Research Notebook — Daily Entry,2026-07-17
State,DRAFT,Scan ID,94b265fb4a47
Regime,SIDEWAYS,NIFTY,SIDEWAYS,BANKNIFTY,UP,VIX,18.0,Breadth,VERY_WEAK

Decision Journal
Symbol,Raw Signal,Final Action,Decision State,Confidence,Opportunity,Strategy,Sector,RR,Blocking Rule,User Action,User Reason,Outcome PnL
INDUSINDBK,WATCH,WATCH,WATCHED,34.8,44.8,Trend Rider,BANKING,3.0,,SKIPPED,unit test,
HCLTECH,WATCH,WATCH,WATCHED,39.9,42.5,Mean Reversion,IT,1.5,,,,
HDFCBANK,WATCH,WATCH,WATCHED,39.9,42.5,Mean Reversion,BANKING,1.5,,,,
TATACONSUM,WATCH,WATCH,WATCHED,39.7,42.4,Mean Reversion,FMCG,1.5,,,,
BAJFINANCE,IGNORE,IGNORE,NO ACTION,29.4,40.2,Trend Rider,FINANCE,3.0,,,,
ICICIBANK,IGNORE,IGNORE,NO ACTION,29.4,40.2,Trend Rider,BANKING,3.0,,,,
TATASTEEL,IGNORE,IGNORE,NO ACTION,29.2,40.0,Trend Rider,METALS,3.0,,,,
DRREDDY,IGNORE,IGNORE,NO ACTION,29.4,38.4,MACD Cross,PHARMA,2.5,,,,
HDFCLIFE,IGNORE,IGNORE,NO ACTION,36.9,38.3,Mean Reversion,FINANCE,1.5,,,,
RELIANCE,IGNORE,IGNORE,NO ACTION,29.3,38.2,MACD Cross,ENERGY,2.5,,,,
COALINDIA,IGNORE,IGNORE,NO ACTION,30.4,37.5,MACD Cross,ENERGY,2.5,,,,
SBIN,IGNORE,IGNORE,NO ACTION,29.3,36.4,EMA Cross,BANKING,2.0,,,,
KOTAKBANK,IGNORE,IGNORE,NO ACTION,29.3,34.5,Mean Reversion,BANKING,1.5,,,,
SHRIRAMFIN,IGNORE,IGNORE,NO ACTION,29.3,34.5,Mean Reversion,FINANCE,1.5,,,,
JSWSTEEL,IGNORE,IGNORE,NO ACTION,29.2,34.4,Mean Reversion,METALS,1.5,,,,
POWERGRID,IGNORE,IGNORE,NO ACTION,25.0,32.6,MACD Cross,ENERGY,2.5,,,,
ONGC,IGNORE,IGNORE,NO ACTION,24.2,32.2,MACD Cross,ENERGY,2.5,,,,
WIPRO,IGNORE,IGNORE,NO ACTION,25.0,29.1,Mean Reversion,IT,1.5,,,,
NTPC,IGNORE,IGNORE,NO ACTION,19.6,24.0,Mean Reversion,ENERGY,1.5,,,,
BAJAJ-AUTO,IGNORE,IGNORE,NO ACTION,8.0,23.6,Trend Rider,AUTO,3.0,,,,
BHARTIARTL,IGNORE,IGNORE,NO ACTION,8.0,23.6,Trend Rider,TELECOM,3.0,,,,
SUNPHARMA,IGNORE,IGNORE,NO ACTION,8.0,23.6,Trend Rider,PHARMA,3.0,,,,
ULTRACEMCO,IGNORE,IGNORE,NO ACTION,8.0,23.6,Trend Rider,INFRA,3.0,,,,
M&M,IGNORE,IGNORE,NO ACTION,8.0,21.8,MACD Cross,AUTO,2.5,,,,
AXISBANK,IGNORE,IGNORE,NO ACTION,8.1,21.0,Trend Rider,BANKING,3.0,,,,
ITC,IGNORE,IGNORE,NO ACTION,16.9,20.3,Mean Reversion,FMCG,1.5,,,,
EICHERMOT,IGNORE,IGNORE,NO ACTION,8.0,19.9,EMA Cross,AUTO,2.0,,,,
INFY,IGNORE,IGNORE,NO ACTION,8.0,19.9,EMA Cross,IT,2.0,,,,
HINDALCO,IGNORE,IGNORE,NO ACTION,8.1,15.4,Mean Reversion,METALS,1.5,,,,
ADANIENT,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,METALS,2.0,,,,
ADANIPORTS,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,INFRA,2.0,,,,
APOLLOHOSP,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,PHARMA,2.0,,,,
ASIANPAINT,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,CONSUMER,2.0,,,,
BAJAJFINSV,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,FINANCE,2.0,,,,
BRITANNIA,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,FMCG,2.0,,,,
CIPLA,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,PHARMA,2.0,,,,
DIVISLAB,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,PHARMA,2.0,,,,
GRASIM,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,INFRA,2.0,,,,
HEROMOTOCO,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,AUTO,2.0,,,,
HINDUNILVR,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,FMCG,2.0,,,,
LT,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,INFRA,2.0,,,,
MARUTI,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,AUTO,2.0,,,,
NESTLEIND,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,FMCG,2.0,,,,
SBILIFE,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,FINANCE,2.0,,,,
TCS,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,IT,2.0,,,,
TECHM,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,IT,2.0,,,,
TITAN,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,CONSUMER,2.0,,,,
TRENT,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,CONSUMER,2.0,,,,
LTIM,IGNORE,IGNORE,REJECTED BY DATA QUALITY,0.0,0.0,,IT,0.0,,,,
TATAMOTORS,IGNORE,IGNORE,REJECTED BY DATA QUALITY,0.0,0.0,,AUTO,0.0,,,,

Notes
2026-07-17T18:14:41.859728+00:00,observation,test-tag,phase18 test note
2026-07-17T18:19:03.964724+00:00,observation,test-tag,phase18 test note
