Issue ID,Date,Severity,Page,Description,Scan ID,Trade ID,Reproducible,Status,Resolution,Resolved Date
ISS-0027,2026-07-26,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-26
ISS-0026,2026-07-26,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-26
ISS-0025,2026-07-26,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-26
ISS-0024,2026-07-26,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-26
ISS-0023,2026-07-26,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-26
ISS-0022,2026-07-26,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-26
ISS-0021,2026-07-26,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-26
ISS-0020,2026-07-19,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-19
ISS-0019,2026-07-19,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-19
ISS-0018,2026-07-19,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-19
ISS-0017,2026-07-17,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-17
ISS-0016,2026-07-17,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-17
ISS-0015,2026-07-17,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-17
ISS-0014,2026-07-17,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-17
ISS-0013,2026-07-17,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-17
ISS-0012,2026-07-16,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-16
ISS-0011,2026-07-16,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-16
ISS-0010,2026-07-16,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-16
ISS-0009,2026-07-16,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-16
ISS-0008,2026-07-16,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-16
ISS-0007,2026-07-16,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-16
ISS-0006,2026-07-16,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-16
ISS-0005,2026-07-15,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-15
ISS-0004,2026-07-15,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-15
ISS-0003,2026-07-15,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-15
ISS-0002,2026-07-15,LOW,test,unit-test issue,,,False,VERIFIED,test done,2026-07-15
ISS-0001,2026-07-15,LOW,test,test issue,,,False,FIXED,ok,2026-07-15
