Endpoint,Method,Description,Status
/api/portfolio,GET,See route implementation in trading.ts,Active
/api/signals,GET,See route implementation in trading.ts,Active
/api/trades,GET,See route implementation in trading.ts,Active
/api/run-scan,POST,See route implementation in trading.ts,Active
/api/watchlist,GET,See route implementation in trading.ts,Active
/api/watchlist,POST,See route implementation in trading.ts,Active
/api/watchlist/:symbol,DELETE,See route implementation in trading.ts,Active
/api/portfolio/reset,POST,See route implementation in trading.ts,Active
/api/opportunity-scan,GET,See route implementation in trading.ts,Active
/api/market-scan,GET,See route implementation in trading.ts,Active
/api/market-replay,GET,See route implementation in trading.ts,Active
/api/market-context,GET,See route implementation in trading.ts,Active
/api/ai-decisions,GET,See route implementation in trading.ts,Active
/api/trade-replay,GET,See route implementation in trading.ts,Active
/api/learning-summary,GET,See route implementation in trading.ts,Active
/api/trade-intelligence,GET,See route implementation in trading.ts,Active
/api/trade-intelligence/import,POST,See route implementation in trading.ts,Active
/api/predictive-intelligence/:symbol,GET,See route implementation in trading.ts,Active
/api/predictive-intelligence/evaluate,POST,See route implementation in trading.ts,Active
/api/historical-knowledge/build,POST,See route implementation in trading.ts,Active
/api/historical-knowledge/summary,GET,See route implementation in trading.ts,Active
/api/historical-knowledge/trades,GET,See route implementation in trading.ts,Active
/api/walk-forward/run,POST,See route implementation in trading.ts,Active
/api/walk-forward/status,GET,See route implementation in trading.ts,Active
/api/walk-forward/result,GET,See route implementation in trading.ts,Active
/api/walk-forward/export/:kind,GET,See route implementation in trading.ts,Active
/api/batches,GET,See route implementation in trading.ts,Active
/api/batches/:batchId,GET,See route implementation in trading.ts,Active
/api/experiments/check-duplicate,POST,See route implementation in trading.ts,Active
/api/experiments/export/csv,GET,See route implementation in trading.ts,Active
/api/experiments/export/json,GET,See route implementation in trading.ts,Active
/api/experiments,GET,See route implementation in trading.ts,Active
/api/experiments/leaderboard,GET,See route implementation in trading.ts,Active
/api/experiments,POST,See route implementation in trading.ts,Active
/api/experiments/:id/run,POST,See route implementation in trading.ts,Active
/api/research/intelligence,GET,See route implementation in trading.ts,Active
/api/live-data/health,GET,See route implementation in trading.ts,Active
/api/live-data/scan,GET,See route implementation in trading.ts,Active
/api/live-data/scan/run,POST,See route implementation in trading.ts,Active
/api/live-data/recommendations,GET,See route implementation in trading.ts,Active
/api/live-data/report,GET,See route implementation in trading.ts,Active
/api/meta-learning/compare,GET,See route implementation in trading.ts,Active
/api/meta-learning/create-mutation,POST,See route implementation in trading.ts,Active
/api/meta-learning/export,GET,See route implementation in trading.ts,Active
/api/evolution/registry,GET,See route implementation in trading.ts,Active
/api/evolution/tree,GET,See route implementation in trading.ts,Active
/api/evolution/leaderboard,GET,See route implementation in trading.ts,Active
/api/evolution/knowledge,GET,See route implementation in trading.ts,Active
/api/evolution/ab-tests,GET,See route implementation in trading.ts,Active
/api/evolution/robustness/:expId,GET,See route implementation in trading.ts,Active
/api/evolution/mutate,POST,See route implementation in trading.ts,Active
/api/evolution/status,POST,See route implementation in trading.ts,Active
/api/evolution/ab-test,POST,See route implementation in trading.ts,Active
/api/evolution/evaluate,POST,See route implementation in trading.ts,Active
/api/evolution/export,GET,See route implementation in trading.ts,Active
/api/research/phase5-review-export,GET,See route implementation in trading.ts,Active
/api/experiments/compare,GET,See route implementation in trading.ts,Active
/api/experiments/:id/trade-diagnostics,GET,See route implementation in trading.ts,Active
/api/experiments/:id/analysis,GET,See route implementation in trading.ts,Active
/api/experiments/:id/analyze,POST,See route implementation in trading.ts,Active
/api/experiments/:id/report,GET,See route implementation in trading.ts,Active
/api/experiments/:id/report/status,GET,See route implementation in trading.ts,Active
/api/experiments/:id/report/export/json,GET,See route implementation in trading.ts,Active
/api/experiments/:id/report/export/html,GET,See route implementation in trading.ts,Active
/api/experiments/:id/report/export/csv,GET,See route implementation in trading.ts,Active
/api/experiments/:id/suggested-experiments/:suggestionId/queue,POST,See route implementation in trading.ts,Active
/api/experiments/:id,GET,See route implementation in trading.ts,Active
/api/experiments/:id,DELETE,See route implementation in trading.ts,Active
/api/research-package/generate,POST,See route implementation in trading.ts,Active
/api/research-package/download,GET,See route implementation in trading.ts,Active
/api/chatgpt-report/generate,POST,See route implementation in trading.ts,Active
/api/chatgpt-report/download,GET,See route implementation in trading.ts,Active
/api/learning-insights,GET,See route implementation in trading.ts,Active
/api/pattern-quality,GET,See route implementation in trading.ts,Active
/api/trade-decisions,GET,See route implementation in trading.ts,Active
/api/portfolio-manager,GET,See route implementation in trading.ts,Active
/api/evidence-research,GET,See route implementation in trading.ts,Active
/api/feature-importance,GET,See route implementation in trading.ts,Active
/api/paper-basket,POST,See route implementation in trading.ts,Active
/api/strategy-performance,GET,See route implementation in trading.ts,Active
/api/market-overview,GET,See route implementation in trading.ts,Active
/api/market-data/:symbol,GET,See route implementation in trading.ts,Active
/api/indicators/:symbol,GET,See route implementation in trading.ts,Active
/api/backtest,POST,See route implementation in trading.ts,Active
/api/optimizer,POST,See route implementation in trading.ts,Active
/api/strategy-lab,POST,See route implementation in trading.ts,Active
/api/learning-review,GET,See route implementation in trading.ts,Active
/api/learning-cycle,POST,See route implementation in trading.ts,Active
