# Phase 11 drawdown report,generated 2026-07-15T04:30:18.119298,engine 11.0,PAPER TRADING RESEARCH ONLY
Window/Timestamp,Drawdown % / Equity,Points/Note
daily,,Not Available — fewer than 2 equity points in window
weekly,1.15,8
monthly,1.15,8
2026-07-08T20:59:59.555687,5000.0,
2026-07-08T20:59:59.555823,5000.0,
2026-07-08T21:50:57.831742,5000.0,
2026-07-08T21:50:57.833782,5225.0,
2026-07-08T21:50:57.836467,5225.0,
2026-07-08T21:50:57.838642,5165.0,
2026-07-08T21:50:57.848380,5165.0,
2026-07-08T21:50:57.851105,5465.0,
