File,Size,Purpose,
`src/execution/contracts.py`,2,120 B,RC-7 stub: ExecutionOrder, FillRecord, enums,
`src/execution/exceptions.py`,398 B,RC-7 stub: Execution exception hierarchy,
`src/execution/fills.py`,530 B,RC-7 stub: FillEvent,
`src/execution/portfolio.py`,1,457 B,RC-7 stub: PositionSnapshot, PortfolioSnapshot,
`src/market_data/contracts.py`,1,722 B,RC-6 stub: Tick, CompletedBar, Quote,
`src/market_data/service.py`,1,191 B,RC-6 stub: MarketDataService,
`src/risk/contracts.py`,3,052 B,RC-8 stub: RiskResult, RiskViolation, RiskStateSnapshot,
`src/risk/engine.py`,682 B,RC-8 stub: RiskEngine,
`src/risk/fill_event_bus.py`,1,092 B,RC-8 stub: FillEventBus,
`src/risk/integration_layer.py`,1,381 B,RC-8 stub: RiskIntegrationLayer,
`src/strategy/__init__.py`,1,803 B,Public exports (58 symbols),
`src/strategy/contracts.py`,6,253 B,Domain types: Signal, StrategyConfig, Context, etc.,
`src/strategy/exceptions.py`,1,264 B,9 typed exception classes,
`src/strategy/strategy_protocol.py`,2,932 B,Strategy Protocol (on_bar/on_tick/on_fill/validate_config),
`src/strategy/state_machine.py`,5,049 B,Lifecycle state machine with 7 states,
`src/strategy/runtime.py`,13,220 B,Per-strategy async task,
`src/strategy/signal_router.py`,9,827 B,Signal validation, order mapping, conflict detection,
`src/strategy/coordinator.py`,8,748 B,Global lifecycle manager,
`src/strategy/context_builder.py`,3,240 B,Immutable StrategyContext builder,
`src/strategy/fill_tracker.py`,6,514 B,Per-strategy fill tracking via FillEventBus,
`src/strategy/built_in/__init__.py`,152 B,Exports SmaCrossoverStrategy,
`src/strategy/built_in/sma_crossover.py`,5,212 B,Deterministic SMA crossover reference strategy,

Generated by Kimi AI
