selection_date,buy_date,sell_date,stock,sector,selection_reason,buy_price,sell_price,quantity,investment,pnl_rupees,pnl_pct,outcome
2026-07-01,2026-07-02,2026-07-06,SBIN,BANKING,"Opportunity score 62.4/100 (Trend Rider, BUY)",1050.9,1037.7,10,10509.0,-132.0,-1.26,Small Loss
2026-07-01,2026-07-02,2026-07-06,ONGC,ENERGY,"Opportunity score 51.9/100 (Trend Rider, WATCH)",234.0,243.9,10,2340.0,99.0,4.23,Good
2026-07-01,2026-07-02,2026-07-06,COALINDIA,ENERGY,"Opportunity score 51.4/100 (Trend Rider, WATCH)",438.4,432.35,10,4384.0,-60.5,-1.38,Small Loss
2026-07-01,2026-07-02,2026-07-06,POWERGRID,ENERGY,"Opportunity score 51.3/100 (MACD Cross, WATCH)",287.55,285.4,10,2875.5,-21.5,-0.75,Small Loss
2026-07-01,2026-07-02,2026-07-06,TATACONSUM,FMCG,"Opportunity score 49.3/100 (Mean Reversion, WATCH)",1099.9,1117.9,10,10999.0,180.0,1.64,Weak Profit
2026-07-01,2026-07-02,2026-07-06,HINDALCO,METALS,"Opportunity score 48.5/100 (Trend Rider, WATCH)",942.05,980.4,10,9420.5,383.5,4.07,Good
2026-07-01,2026-07-02,2026-07-06,NTPC,ENERGY,"Opportunity score 47.4/100 (MACD Cross, WATCH)",359.95,356.25,10,3599.5,-37.0,-1.03,Small Loss
2026-07-01,2026-07-02,2026-07-06,NESTLEIND,FMCG,"Opportunity score 44.8/100 (EMA Cross, WATCH)",1459.0,1473.7,10,14590.0,147.0,1.01,Weak Profit
2026-07-01,2026-07-02,2026-07-06,AXISBANK,BANKING,"Opportunity score 42.1/100 (Trend Rider, WATCH)",1374.0,1339.6,10,13740.0,-344.0,-2.5,Failed
2026-07-01,2026-07-02,2026-07-06,WIPRO,IT,"Opportunity score 40.0/100 (Trend Rider, IGNORE)",169.49,174.32,10,1694.9,48.3,2.85,Good
2026-07-02,2026-07-03,2026-07-07,COALINDIA,ENERGY,"Opportunity score 64.8/100 (Trend Rider, BUY)",441.95,428.95,10,4419.5,-130.0,-2.94,Failed
