page_name,route,freshness_component_type,scan_id,scan_timestamp,quote_timestamp,provider,status,consistent,verified_at
"TradeDecisions","/","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:06:50.115Z"
"PortfolioManager","/portfolio-manager","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:07:14.415Z"
"Dashboard","/dashboard","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:07:35.504Z"
"Market","/market","DataFreshnessBar","0f4bb845","05:34:23 pm IST","05:37:45 pm IST","","FRESH",true,"2026-07-16T12:07:40.795Z"
"MarketScanner","/market-scanner","DataFreshnessBar","0f4bb845","05:34:23 pm IST","05:38:04 pm IST","","FRESH",true,"2026-07-16T12:07:47.471Z"
"MarketReplay","/market-replay","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:00:55.679Z"
"Signals","/signals","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:08:06.646Z"
"AIDecision","/ai-decision","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","LOADING",true,"2026-07-16T12:08:09.892Z"
"TradeReplay","/trade-replay","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:01:14.254Z"
"AllTrades","/trades","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:01:20.234Z"
"Watchlist","/watchlist","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:08:13.520Z"
"Backtest","/backtest","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:01:32.585Z"
"Validate","/validate","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:01:38.493Z"
"StrategyLab","/strategy-lab","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:01:44.509Z"
"Optimizer","/optimizer","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:01:50.538Z"
"PaperBasketTest","/paper-basket-test","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:01:56.672Z"
"TradeIntelligence","/trade-intelligence","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:08:17.566Z"
"HistoricalKnowledge","/historical-knowledge","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:03:01.196Z"
"LearningInsights","/learning-insights","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:03:04.683Z"
"LearningReview","/learning-review","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:03:09.640Z"
"PatternQuality","/pattern-quality","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:03:14.370Z"
"FeatureImportance","/feature-importance","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:03:19.271Z"
"WalkForwardValidation","/walk-forward","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:03:24.173Z"
"ResearchFactory","/experiments","HistoricalDatasetFreshness","","—","","","HISTORICAL","","2026-07-16T12:03:27.691Z"
"ResearchIntelligence","/research-intelligence","DataFreshnessBar","","—","","","LOADING",true,"2026-07-16T12:03:31.401Z"
"StrategyEvolution","/strategy-evolution","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:08:21.262Z"
"LiveDataHealth","/live-data-health","DataFreshnessBar","","03:34:44 pm IST","—","","LOADING",true,"2026-07-16T12:03:42.911Z"
"BrokerExecution","/broker-execution","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:05:16.865Z"
"AICopilot","/ai-copilot","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:05:24.339Z"
"Notifications","/notifications","NoLiveDataset","","","","","N/A","","2026-07-16T12:05:31.172Z"
"PerformanceAnalytics","/performance-analytics","HistoricalDatasetFreshness","","16 Jul, 05:35 pm IST","","","HISTORICAL","","2026-07-16T12:05:35.315Z"
"Settings","/settings","NoLiveDataset","","","","","N/A","","2026-07-16T12:05:40.350Z"
"RiskManagement","/risk","DataFreshnessBar","","—","","","LOADING",true,"2026-07-16T12:05:43.784Z"
"PortfolioRiskAnalytics","/portfolio-risk","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:05:47.263Z"
"Phase12Intelligence","/phase12","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:05:51.642Z"
"Phase13InstitutionalAI","/phase13","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:05:55.034Z"
"LearningGovernance","/learning","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:05:58.272Z"
"PaperTradingValidation","/validation","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:06:01.652Z"
"SystemValidation","/system-validation","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","LOADING",true,"2026-07-16T12:06:04.998Z"
"ResearchNotebook","/research-notebook","DataFreshnessBar","0f4bb845","05:34:23 pm IST","","","FRESH",true,"2026-07-16T12:06:08.699Z"
"KiteConnect","/kite-connect","NoLiveDataset","","","","","N/A","","2026-07-16T12:06:12.591Z"
